Year,Type,Country,Athlete,Sport,Medal,Age
1944,Summer,Australia,John Jimenez,Swimming,Silver,23
1944,Summer,China,Jeffrey Moore,Rowing,Gold,28
1944,Summer,France,Andrew Martin,Basketball,,33
1944,Summer,Russia,Gina Kennedy,Weightlifting,Gold,21
1944,Summer,Brazil,Matthew Brown,Weightlifting,,25
1944,Summer,Russia,Christopher Brown,Weightlifting,Gold,34
1944,Summer,UK,Lori Dean,Gymnastics,Gold,24
1944,Summer,Canada,Michael Wells,Gymnastics,Silver,30
1944,Summer,Japan,Maureen Morgan,Basketball,,30
1944,Summer,Italy,Theresa Oliver,Tennis,,21
1944,Summer,USA,Kevin Mitchell,Weightlifting,Silver,36
1944,Summer,Canada,Garrett Thompson,Tennis,Silver,39
1944,Summer,UK,David White,Boxing,Gold,39
1944,Summer,France,Jesse Brandt,Tennis,Bronze,32
1944,Summer,France,Hunter White,Cycling,Bronze,30
1944,Summer,Brazil,Joseph Cruz,Cycling,Bronze,39
1944,Summer,Australia,Stephanie Collins,Athletics,Silver,31
1944,Summer,France,Christopher Chan,Swimming,Gold,25
1944,Summer,Brazil,Joshua Wagner,Soccer,Silver,28
1944,Summer,Brazil,Grant Baker,Weightlifting,,30
1944,Summer,Canada,Andrew Brown,Athletics,,34
1944,Summer,Italy,Robert Carlson,Tennis,,31
1944,Summer,Germany,Daniel Phelps,Swimming,Silver,24
1944,Summer,South Korea,Jeremy Gonzalez,Tennis,Bronze,34
1944,Summer,Brazil,Linda Henry,Basketball,Gold,25
1944,Summer,Italy,Dr. Linda Moore,Athletics,Gold,36
1944,Summer,UK,Terry Martinez,Weightlifting,Gold,34
1944,Summer,Japan,Sherri Ruiz,Cycling,,40
1944,Summer,Japan,Casey Murphy,Swimming,Bronze,34
1944,Summer,Italy,Jody Smith,Athletics,Bronze,36
1944,Summer,China,Ellen Miller,Athletics,Silver,33
1944,Summer,South Korea,Miss Dana Lynn,Tennis,Bronze,27
1944,Summer,China,Daniel Allen,Tennis,Gold,18
1944,Summer,China,Jason Luna,Basketball,Bronze,23
1944,Summer,USA,Melissa Brown,Rowing,Gold,39
1944,Summer,Japan,Jessica West,Gymnastics,Bronze,34
1944,Summer,France,Frances Blevins,Cycling,Silver,19
1944,Summer,Russia,Jeanne Sloan,Gymnastics,Gold,21
1944,Summer,China,Erik Doyle,Tennis,,27
1944,Summer,South Africa,Danielle Johnson,Athletics,Silver,39
1944,Summer,Brazil,Michelle Ortiz,Tennis,Gold,34
1944,Summer,China,Benjamin Ortiz,Athletics,,35
1944,Summer,South Korea,Scott Stevens,Tennis,,35
1944,Summer,France,Michael Robinson,Swimming,Gold,32
1944,Summer,China,Catherine Griffin,Gymnastics,Bronze,27
1944,Summer,China,Jennifer Santos,Gymnastics,Silver,28
1944,Summer,South Korea,Jordan Taylor,Swimming,Gold,21
1944,Summer,Japan,Carrie Howell,Soccer,Bronze,30
1944,Summer,Japan,Paul Lewis,Boxing,,28
1944,Summer,France,Jeremy Miller,Athletics,Bronze,30
1944,Summer,Japan,Kimberly King,Gymnastics,Gold,27
1944,Summer,France,Debbie Young,Weightlifting,Bronze,28
1944,Summer,Australia,Wayne Williamson,Weightlifting,,35
1944,Summer,Brazil,Donna Henderson,Swimming,Bronze,29
1944,Summer,Brazil,Linda Hill,Cycling,Bronze,18
1944,Summer,India,Tyler Ruiz,Soccer,,32
1944,Summer,UK,Scott Martinez,Tennis,,33
1944,Summer,Italy,Lori Gonzales,Basketball,Bronze,22
1944,Summer,Russia,Tanya Price,Basketball,,40
1944,Summer,France,Russell Kim,Gymnastics,Gold,23
1944,Summer,Australia,Geoffrey King,Weightlifting,,25
1944,Summer,Australia,Carlos Smith,Boxing,Bronze,25
1944,Summer,Brazil,Cody Vega,Athletics,Gold,36
1944,Summer,France,William Gilbert,Athletics,Silver,37
1944,Summer,China,Jacqueline Miller,Rowing,Silver,24
1944,Summer,France,Margaret Walters,Rowing,Silver,31
1944,Summer,Germany,Anthony Hernandez,Swimming,Bronze,25
1944,Summer,Italy,Russell Johnson,Boxing,,28
1944,Summer,Italy,Linda Rogers,Gymnastics,,25
1944,Summer,Brazil,Jeffrey Brown,Cycling,Bronze,28
1944,Summer,China,David Lowe,Basketball,Silver,33
1944,Summer,UK,Denise Montoya,Cycling,Gold,31
1944,Summer,Brazil,Kathleen Johnson,Athletics,Silver,24
1944,Summer,USA,Robert Rodriguez,Rowing,Silver,23
1944,Summer,South Africa,Kevin Ewing,Cycling,,40
1944,Summer,Italy,Adam Gates,Swimming,,19
1944,Summer,Italy,Lawrence Nelson,Cycling,Bronze,28
1944,Summer,Brazil,Felicia Banks,Gymnastics,Silver,37
1944,Summer,Germany,Cynthia Davis,Basketball,Bronze,34
