Year,Type,Country,Athlete,Sport,Medal,Age
1974,Winter,South Korea,Randy Gay,Skiing,,23
1974,Winter,USA,Chad Koch,Figure Skating,Silver,39
1974,Winter,South Korea,Laura Silva,Speed Skating,,24
1974,Winter,Australia,Matthew Mccormick,Figure Skating,,31
1974,Winter,Germany,Jennifer Hall,Ice Hockey,Bronze,18
1974,Winter,Japan,Christopher Greene,Figure Skating,Bronze,40
1974,Winter,Russia,Lisa Raymond,Figure Skating,,18
1974,Winter,France,Julia Kim,Snowboarding,Gold,26
1974,Winter,Japan,Shane Arnold,Curling,Silver,27
1974,Winter,Brazil,Jaime Garcia,Snowboarding,Bronze,30
1974,Winter,South Africa,Mark Jones,Biathlon,,35
1974,Winter,South Africa,Yolanda Burnett,Snowboarding,Gold,37
1974,Winter,France,Karina Williams,Speed Skating,,38
1974,Winter,Russia,Jason Torres,Bobsleigh,Silver,23
1974,Winter,China,Derek Sanders,Figure Skating,Silver,35
1974,Winter,Australia,Alexander Lewis,Speed Skating,Bronze,29
1974,Winter,South Korea,Ricardo Parks,Figure Skating,,37
1974,Winter,Russia,Michael Elliott,Speed Skating,Silver,20
1974,Winter,Japan,Leslie Thompson,Figure Skating,Silver,21
1974,Winter,Germany,Chelsea Gordon,Speed Skating,Gold,18
1974,Winter,UK,George Rhodes,Curling,,37
1974,Winter,France,Karen Miller,Snowboarding,Gold,21
1974,Winter,Australia,Benjamin Wilson,Curling,Gold,25
1974,Winter,Russia,Bonnie Lowery,Curling,Silver,32
1974,Winter,Russia,Aaron Thornton,Figure Skating,Bronze,32
1974,Winter,Italy,Eric Hess,Bobsleigh,Gold,20
1974,Winter,USA,William Tran,Bobsleigh,Silver,19
1974,Winter,France,William Harper,Bobsleigh,Gold,35
1974,Winter,China,Walter Lamb,Skiing,Gold,32
1974,Winter,South Korea,William Stewart II,Ice Hockey,Silver,32
1974,Winter,Germany,Jorge Avila,Speed Skating,,29
1974,Winter,South Africa,Joshua Kim,Skiing,,39
1974,Winter,UK,Heidi Hancock,Snowboarding,Gold,35
1974,Winter,Brazil,Douglas Mejia,Skiing,,23
1974,Winter,Germany,Keith Ward,Curling,Bronze,25
